8.9°C,15.1°C,4h,0.4mm 
5.7°C,22.0°C,11h,0.0mm 
6.7°C,12.8°C,6h,1.4mm 
4.4°C,11.3°C,4h,0.0mm 
8.2°C,15.5°C,7h,0.0mm 
16.8°C,22.8°C,3h,1.8mm 
14.5°C,18.4°C,2h,3.8mm 
0.7°C,6.6°C,6h,0.0mm 
12.8°C,25.3°C,5h,0.0mm 
16.4°C,22.5°C,1h,0.4mm 
12.8°C,16.1°C,0h,0.2mm 
5.5°C,8.9°C,0h,0.2mm 
7.6°C,11.4°C,3h,7.4mm 
-1.4°C,7.6°C,4h,1.8mm 
6.3°C,12.1°C,0h,1.0mm 
14.4°C,31.7°C,12h,0.0mm 
10.0°C,22.3°C,12h,0.0mm 
6.5°C,11.9°C,2h,7.2mm 
3.6°C,10.2°C,7h,0.0mm 
5.7°C,22.0°C,11h,0.0mm 
7.1°C,13.3°C,2h,0.2mm 
6.2°C,8.5°C,6h,0.0mm 
15.5°C,21.0°C,3h,0.4mm 
-6.3°C,-1.4°C,9h,0.0mm 
15.2°C,19.9°C,2h,4.6mm 
-3.5°C,-1.6°C,0h,0.0mm 
15.8°C,29.2°C,15h,0.0mm 
-6.8°C,-1.5°C,9h,0.0mm 
4.8°C,9.2°C,0h,0.0mm 
6.0°C,11.1°C,0h,0.0mm 
16.1°C,27.5°C,12h,0.0mm 
14.6°C,25.1°C,10h,0.0mm 
9.1°C,14.5°C,0h,12.4mm 
9.5°C,10.2°C,0h,0.0mm 
14.5°C,18.4°C,2h,3.8mm 
14.8°C,24.3°C,8h,0.2mm 
5.5°C,8.9°C,0h,0.2mm 
8.4°C,14.1°C,1h,2.8mm 
10.0°C,17.0°C,9h,0.0mm 
13.7°C,24.6°C,11h,0.0mm 
6.3°C,8.4°C,0h,0.0mm 
5.7°C,22.0°C,11h,0.0mm 
8.0°C,12.3°C,0h,0.0mm 
15.5°C,22.0°C,0h,0.4mm 
8.0°C,12.3°C,0h,0.0mm 
7.4°C,11.5°C,0h,3.6mm 
15.5°C,19.9°C,1h,0.0mm 
3.4°C,15.3°C,7h,0.0mm 
9.7°C,14.4°C,0h,1.8mm 
11.1°C,16.4°C,7h,0.2mm 
10.3°C,19.1°C,8h,0.0mm 
10.9°C,20.5°C,7h,0.0mm 
19.6°C,29.7°C,12h,0.0mm 
9.1°C,14.5°C,0h,12.4mm 
0.4°C,8.7°C,7h,0.0mm 
8.6°C,13.8°C,1h,0.8mm 
12.8°C,16.1°C,0h,0.2mm 
12.6°C,21.9°C,7h,0.0mm 
-0.4°C,2.6°C,2h,0.4mm 
13.4°C,19.9°C,2h,0.0mm 
-0.5°C,9.7°C,8h,0.0mm 
19.2°C,27.7°C,15h,0.0mm 
11.6°C,20.5°C,4h,0.0mm 
15.7°C,27.2°C,15h,0.0mm 
9.5°C,19.9°C,5h,4.6mm 
11.3°C,21.9°C,10h,0.0mm 
-0.4°C,2.6°C,2h,0.4mm 
18.7°C,28.7°C,9h,0.2mm 
6.2°C,14.7°C,5h,0.0mm 
9.0°C,16.9°C,5h,0.0mm 
9.1°C,21.6°C,12h,0.0mm 
17.5°C,28.7°C,5h,11.4mm 
5.1°C,14.5°C,8h,0.0mm 
-6.8°C,-1.5°C,9h,0.0mm 
20.1°C,30.3°C,8h,0.0mm 
5.4°C,7.1°C,1h,0.0mm 
12.6°C,17.4°C,4h,0.0mm 
10.4°C,17.7°C,10h,0.0mm 
6.6°C,13.0°C,7h,5.8mm 
10.1°C,16.4°C,3h,0.0mm 
10.8°C,21.3°C,9h,0.0mm 
6.2°C,9.5°C,4h,0.0mm 
7.4°C,14.6°C,0h,0.0mm 
14.8°C,24.2°C,6h,0.2mm 
4.7°C,6.6°C,1h,0.0mm 
6.3°C,10.5°C,3h,1.6mm 
11.0°C,15.9°C,5h,2.6mm 
12.4°C,17.8°C,5h,0.0mm 
2.8°C,4.3°C,0h,0.4mm 
15.2°C,25.8°C,12h,0.0mm 
10.9°C,17.1°C,1h,0.0mm 
20.1°C,30.3°C,8h,0.0mm 
11.0°C,15.7°C,1h,2.8mm 
10.6°C,15.9°C,0h,27.4mm 
13.9°C,19.5°C,0h,2.4mm 
12.5°C,20.6°C,8h,2.4mm 
6.6°C,15.0°C,3h,2.2mm 
-6.5°C,0.2°C,9h,0.0mm 
-1.5°C,7.4°C,10h,0.0mm 
16.8°C,22.8°C,3h,1.8mm 
12.3°C,25.8°C,12h,0.0mm 
3.2°C,8.1°C,2h,0.0mm 
2.4°C,9.3°C,0h,3.0mm 
10.0°C,17.0°C,9h,0.0mm 
11.0°C,15.9°C,5h,2.6mm 
5.2°C,9.0°C,0h,1.6mm 
3.4°C,13.8°C,12h,0.0mm 
15.7°C,25.2°C,10h,0.6mm 
